,pokedex_number,attack,defense,hp,sp_attack,sp_defense,speed,base_total,capture_rate,classfication,experience_growth,height_m,type1,type2,weight_kg,generation,name,PC1,PC2,Cluster,Cluster Name
190,209,80,50,60,40,40,30,300,190,169,800000,0.6,4,4,7.8,2,Snubbull,-2.640864442279781,0.8072168888434633,1,Baby
191,210,120,75,90,60,60,45,450,75,169,800000,1.4,4,4,48.7,2,Granbull,0.22623254555764918,0.8306140885535634,2,Fully Evolved
192,211,95,85,65,55,55,85,440,45,26,1000000,0.5,17,13,3.9,2,Qwilfish,-0.006379013874481605,-1.0317321584693586,2,Fully Evolved
193,212,150,140,70,65,100,75,600,25,364,1000000,1.8,0,16,118.0,2,Scizor,2.789894433264618,-0.45892130702960904,2,Fully Evolved
194,213,10,230,20,10,230,5,505,190,328,1059860,0.6,0,15,20.5,2,Shuckle,0.46972751970926574,-2.4708547641755305,2,Fully Evolved
195,214,185,115,80,40,105,75,600,45,452,1250000,1.5,0,5,54.0,2,Heracross,2.7065515857842555,1.3136248289947263,2,Fully Evolved
196,215,95,55,55,35,75,115,430,60,444,1059860,0.9,1,11,28.0,2,Sneasel,-0.1888837980581563,1.059268960109532,2,Fully Evolved
197,216,80,50,60,50,50,40,330,120,292,1000000,0.6,12,12,8.8,2,Teddiursa,-1.7465165335565864,-0.8412956413675868,1,Baby
198,217,130,75,90,75,75,55,500,60,232,1000000,1.8,12,12,125.8,2,Ursaring,1.4639193417661647,-0.9012299441025949,2,Fully Evolved
199,218,40,40,40,70,40,20,250,190,281,1000000,0.7,6,6,35.0,2,Slugma,-3.0531464359824185,0.3639957604902698,1,Baby
200,219,50,120,60,90,80,30,430,75,281,1000000,0.8,6,15,55.0,2,Magcargo,-0.03735450785435217,-1.2608987122955995,2,Fully Evolved
201,220,50,40,50,30,30,50,250,225,363,1250000,0.4,11,10,6.5,2,Swinub,-3.196930719638477,-0.30720379202240383,1,Baby
202,221,100,80,100,60,60,50,450,75,496,1250000,1.1,11,10,55.8,2,Piloswine,0.5259179688782842,-0.6055758223711792,2,Fully Evolved
203,222,55,95,65,65,95,35,410,60,110,800000,0.6,17,15,5.0,2,Corsola,-0.4924444684884005,-2.2873913710513314,2,Fully Evolved
204,223,65,35,35,65,35,65,300,190,261,1000000,0.6,17,17,12.0,2,Remoraid,-2.534684850706203,-1.5722886771373055,1,Baby
205,224,105,75,75,105,75,45,480,75,261,1000000,0.9,17,17,28.5,2,Octillery,0.6475402749536392,-1.9490218660926963,2,Fully Evolved
206,225,55,45,45,65,45,75,330,45,129,800000,0.9,11,7,16.0,2,Delibird,-1.5751389377769185,0.27762183603574914,1,Baby
207,226,40,70,85,80,140,70,485,25,271,1250000,2.1,17,7,220.0,2,Mantine,2.004858994866196,-1.0242198722945695,2,Fully Evolved
208,227,80,140,65,40,70,70,465,25,10,1250000,1.7,16,7,50.5,2,Skarmory,1.1271789195585566,-0.8133397346891246,2,Fully Evolved
209,228,60,30,45,80,50,65,330,120,123,1250000,0.6,1,6,10.8,2,Houndour,-1.5890140619446573,1.8558492937819182,1,Baby
210,229,90,90,75,140,90,115,600,45,123,1250000,1.4,1,6,35.0,2,Houndoom,2.580262465347203,2.0458446974985405,2,Fully Evolved
211,230,95,95,75,95,95,85,540,45,144,1000000,1.8,17,2,152.0,2,Kingdra,2.085124099402462,-0.05197377415774854,2,Fully Evolved
212,231,60,60,90,40,40,40,330,120,301,1000000,0.5,10,10,33.5,2,Phanpy,-1.702190892866398,-0.5963869621478789,1,Baby
213,232,120,120,90,60,60,50,500,60,11,1000000,1.1,10,10,120.0,2,Donphan,1.271832644797138,-0.6655557236015095,2,Fully Evolved
214,233,80,90,85,105,95,60,515,45,547,1000000,0.6,12,12,32.5,2,Porygon2,1.0781513073452682,-1.0354354690412961,2,Fully Evolved
215,234,95,62,73,85,65,85,465,45,40,1250000,1.4,12,12,71.2,2,Stantler,0.9870708307272372,-0.10646385916122932,2,Fully Evolved
216,235,20,35,55,20,45,75,250,45,355,800000,1.2,12,12,58.0,2,Smeargle,-2.4897443282433467,-0.8991461943955564,1,Baby
217,236,35,35,35,35,35,35,210,75,427,1000000,0.7,5,5,21.0,2,Tyrogue,-3.191046314903183,0.6521172935146365,1,Baby
218,237,95,95,50,35,110,70,455,45,222,1000000,1.4,5,5,48.0,2,Hitmontop,0.5397544492095824,0.581738604334638,2,Fully Evolved
219,238,30,15,45,85,65,65,305,45,270,1000000,0.4,11,14,6.0,2,Smoochum,-1.8623915549907224,-0.4437855374552166,1,Baby
220,239,63,37,45,65,55,95,360,45,156,1000000,0.6,3,3,23.5,2,Elekid,-1.121773878845864,2.038659021921421,1,Baby
221,240,75,37,45,70,55,83,365,45,294,1000000,0.7,6,6,21.4,2,Magby,-1.0226437907140715,1.1816528827223365,1,Baby
222,241,80,105,95,40,70,100,490,45,324,1250000,1.2,12,12,75.5,2,Miltank,1.1891540263682834,-0.7017641749603104,2,Fully Evolved
223,242,10,10,255,75,135,55,540,30,223,800000,1.5,12,12,46.8,2,Blissey,1.975362913762292,-1.2296664328183844,2,Fully Evolved
224,243,85,75,90,115,100,115,580,3,510,1250000,1.9,3,3,178.0,2,Raikou,2.951440328149054,1.7191704593379276,2,Fully Evolved
225,244,115,85,115,90,75,100,580,3,548,1250000,2.1,6,6,198.0,2,Entei,3.1014965737800133,0.7607410837793562,0,Legendary
226,245,75,115,100,90,115,85,580,3,18,1250000,2.0,17,17,187.0,2,Suicune,3.2631741927560767,-2.043941105559377,0,Legendary
227,246,64,50,50,45,50,41,300,45,405,1250000,0.6,15,10,72.0,2,Larvitar,-1.4548077429822026,-0.8831625264222113,1,Baby
228,247,84,70,70,65,70,51,410,45,225,1250000,1.2,15,10,152.0,2,Pupitar,0.4446427998019136,-0.9094888819878951,2,Fully Evolved
229,248,164,150,100,95,120,71,700,45,11,1250000,2.0,15,1,202.0,2,Tyranitar,4.745154852144994,0.03270001269660548,0,Legendary
230,249,90,130,106,90,154,110,680,3,140,1250000,5.2,14,7,216.0,2,Lugia,5.510883430707137,-0.726663549910347,0,Legendary
231,250,130,90,106,110,154,90,680,3,394,1250000,3.8,6,7,199.0,2,Ho-Oh,5.058665228437364,0.3797138679531435,0,Legendary
232,251,100,100,100,100,100,100,600,45,513,1059860,0.6,14,9,5.0,2,Celebi,2.146061862349558,-0.42752211241526783,2,Fully Evolved
233,252,45,35,40,65,55,70,310,45,570,1059860,0.5,9,9,5.0,3,Treecko,-1.8112925314024735,0.2622576268159666,1,Baby
234,253,65,45,50,85,65,95,405,45,570,1059860,0.9,9,9,21.6,3,Grovyle,-0.42633655700430945,0.4909977900866233,2,Fully Evolved
235,254,110,75,70,145,85,145,630,45,192,1059860,1.7,9,9,52.2,3,Sceptile,2.8901139548236903,1.2062936075360873,2,Fully Evolved
236,255,60,40,45,70,50,45,310,45,90,1059860,0.4,6,6,2.5,3,Torchic,-1.6818701545023402,1.050729223492089,1,Baby
237,256,85,60,60,85,60,55,405,45,576,1059860,0.9,6,5,19.5,3,Combusken,-0.3452950599988087,0.8564452865148637,2,Fully Evolved
238,257,160,80,80,130,80,100,630,45,51,1059860,1.9,6,5,52.0,3,Blaziken,3.08968497231609,1.705291848524347,2,Fully Evolved
239,258,70,50,50,50,50,40,310,45,335,1059860,0.4,17,17,7.6,3,Mudkip,-1.6654338778999116,-1.8515709221949546,1,Baby
240,259,85,70,70,60,70,50,405,45,335,1059860,0.7,17,10,28.0,3,Marshtomp,-0.24278211929464683,-1.063308699987008,2,Fully Evolved
241,260,150,110,100,95,110,70,635,45,335,1059860,1.5,17,10,81.9,3,Swampert,3.219125705757026,-1.1012583698199618,2,Fully Evolved
242,261,55,35,35,30,30,35,220,255,45,1000000,0.5,1,1,13.6,3,Poochyena,-3.845322921624975,1.9031586710396218,1,Baby
243,262,90,70,70,60,60,70,420,127,45,1000000,1.0,1,1,37.0,3,Mightyena,-0.4141235948787839,2.095659282073399,2,Fully Evolved
244,263,30,41,38,30,41,60,240,255,519,1000000,0.4,12,12,17.5,3,Zigzagoon,-3.7143772775489707,-0.8577206181668738,1,Baby
245,264,70,61,78,50,61,100,420,90,413,1000000,0.5,12,12,32.5,3,Linoone,-0.5005001854689732,-0.38002378995522534,2,Fully Evolved
246,265,45,35,45,20,30,20,195,255,574,1000000,0.3,0,0,3.6,3,Wurmple,-4.3421266233556945,1.5943120352645248,1,Baby
247,266,35,55,50,25,25,15,205,120,100,1000000,0.6,0,0,10.0,3,Silcoon,-3.3890400387079214,1.7325831513094483,1,Baby
248,267,70,50,60,100,50,65,395,45,74,1000000,1.0,0,7,28.4,3,Beautifly,-0.423022414887939,1.7134897278164714,2,Fully Evolved
249,268,35,55,50,25,25,15,205,120,100,1000000,0.7,0,0,11.5,3,Cascoon,-3.3574843429668877,1.723648955107518,1,Baby
250,269,50,70,60,50,90,65,385,45,375,1000000,1.2,0,13,31.6,3,Dustox,-0.5232329255013226,0.23652225646744984,2,Fully Evolved
251,270,30,30,40,40,50,30,220,255,553,1059860,0.5,17,9,2.6,3,Lotad,-3.83390824066231,-1.1999160506123663,1,Baby
252,271,50,50,60,60,70,50,340,120,263,1059860,1.2,17,9,32.5,3,Lombre,-1.2903678244090089,-0.9223851790313864,1,Baby
253,272,70,70,80,90,100,70,480,45,78,1059860,1.5,17,9,55.0,3,Ludicolo,1.1082068936654872,-0.6969308219573009,2,Fully Evolved
254,273,40,50,40,30,30,30,220,255,1,1059860,0.5,9,9,4.0,3,Seedot,-3.7607403186579518,-0.09533334001263635,1,Baby
255,274,70,40,70,60,40,60,340,120,565,1059860,1.0,9,1,28.0,3,Nuzleaf,-1.5020680669347535,1.0845876573906894,1,Baby
256,275,100,60,90,90,60,80,480,45,559,1059860,1.3,9,1,59.6,3,Shiftry,0.8655534472459024,1.2467734211450974,2,Fully Evolved
257,276,55,30,40,30,30,85,270,200,522,1059860,0.3,12,7,2.3,3,Taillow,-3.140315580664729,0.31551148519790506,1,Baby
258,277,85,60,60,75,50,125,455,45,495,1059860,0.7,12,7,19.8,3,Swellow,0.1309862373386422,0.7359488860987327,2,Fully Evolved
259,278,30,30,40,55,30,85,270,190,438,1000000,0.6,17,7,9.5,3,Wingull,-3.016473403136072,-0.2188582474789466,1,Baby
260,279,50,100,60,95,70,65,440,45,549,1000000,1.2,17,7,28.0,3,Pelipper,0.1841831757939173,-0.9224888135201251,2,Fully Evolved
261,280,25,25,28,45,35,40,198,235,172,1250000,0.4,14,4,6.6,3,Ralts,-3.857903484819863,0.3449759224182677,1,Baby
262,281,35,35,38,65,55,50,278,120,161,1250000,0.8,14,4,20.2,3,Kirlia,-2.1159897657890143,0.43388772325519603,1,Baby
263,282,85,65,68,165,135,100,618,45,160,1250000,1.6,14,4,48.4,3,Gardevoir,3.062378739171439,0.9376705995566651,2,Fully Evolved
264,283,30,32,40,50,52,65,269,200,378,1000000,0.5,0,17,1.7,3,Surskit,-3.0971344988830274,0.0877597519250835,1,Baby
265,284,60,62,70,100,82,80,454,75,167,1000000,0.8,0,7,3.6,3,Masquerain,0.10101990755520743,1.612147437864531,2,Fully Evolved
266,285,40,60,60,40,60,35,295,255,338,1640000,0.4,9,9,4.5,3,Shroomish,-2.2781919822962955,0.019449067520548487,1,Baby
267,286,130,80,60,60,60,70,460,90,338,1640000,1.2,9,5,39.2,3,Breloom,0.8945327697727665,1.0855447605270905,2,Fully Evolved
268,287,60,60,60,35,35,30,280,255,456,1250000,0.8,12,12,24.0,3,Slakoth,-2.7136235674699214,-1.0250850252388364,1,Baby
269,288,80,80,80,55,55,90,440,120,562,1250000,1.4,12,12,46.5,3,Vigoroth,0.12687621717515862,-0.5668442944360682,2,Fully Evolved
270,289,160,100,150,95,65,100,670,45,282,1250000,2.0,12,12,130.5,3,Slaking,4.06375597598645,-0.2793678688588444,0,Legendary
271,290,45,90,31,30,30,40,266,255,526,600000,0.5,0,10,5.5,3,Nincada,-3.7858068836605576,-0.07932070058362398,1,Baby
272,291,90,45,61,50,50,160,456,120,345,600000,0.8,0,7,12.0,3,Ninjask,-0.6963360854763039,2.132275271642321,2,Fully Evolved
273,292,90,45,1,30,30,40,236,45,445,600000,0.8,0,8,1.2,3,Shedinja,-3.1659423247735026,0.8402453015323927,1,Baby
274,293,51,23,64,51,23,28,240,190,557,1059860,0.6,12,12,16.3,3,Whismur,-3.223552118771627,-0.8547094572536145,1,Baby
275,294,71,43,84,71,43,48,360,120,42,1059860,1.0,12,12,40.5,3,Loudred,-1.0150334879323553,-0.4445116405056569,1,Baby
276,295,91,63,104,91,73,68,490,45,305,1059860,1.5,12,12,84.0,3,Exploud,1.2511884471116967,-0.5776562390650496,2,Fully Evolved
277,296,60,30,72,20,30,25,237,180,220,1640000,1.0,5,5,86.4,3,Makuhita,-2.3124041805518107,1.0909846416021436,1,Baby
278,297,120,60,144,40,60,50,474,200,9,1640000,2.3,5,5,253.8,3,Hariyama,1.6629598510266614,1.0079270331797836,0,Legendary
279,298,20,40,50,20,40,20,190,150,377,800000,0.2,12,4,2.0,3,Azurill,-4.0492032161198495,-0.3017371245523559,1,Baby
280,299,45,135,30,45,90,30,375,255,106,1000000,1.0,15,15,97.0,3,Nosepass,-1.3540632307728022,-2.464805363424783,1,Baby
281,300,45,45,50,35,35,50,260,255,272,800000,0.6,12,12,11.0,3,Skitty,-3.501738176442699,-0.921421942169469,1,Baby
282,301,65,65,70,55,55,90,400,60,383,800000,1.1,12,12,32.6,3,Delcatty,-0.6426674597445504,-0.63047250536145,2,Fully Evolved
283,302,85,125,50,85,115,20,480,45,124,1059860,0.5,1,8,11.0,3,Sableye,0.7228429220328603,0.35663546687261377,2,Fully Evolved
284,303,105,125,50,55,95,50,480,45,126,800000,0.6,16,4,11.5,3,Mawile,0.4756699120654621,-0.6286627364312376,2,Fully Evolved
285,304,70,100,50,40,40,30,330,180,253,1250000,0.4,16,15,60.0,3,Aron,-1.6905862290425744,-1.9231309295184489,1,Baby
286,305,90,140,60,50,50,40,430,90,253,1250000,0.9,16,15,120.0,3,Lairon,0.32353789230094726,-2.118874947028299,2,Fully Evolved
287,306,140,230,70,60,80,50,630,45,253,1250000,2.1,16,15,360.0,3,Aggron,4.121899913521729,-2.949973439786237,0,Legendary
288,307,40,55,30,40,55,60,280,180,318,1000000,0.6,5,14,11.2,3,Meditite,-2.781548185656668,-0.2598517201698299,1,Baby
289,308,100,85,60,80,85,100,510,90,318,1000000,1.3,5,14,31.5,3,Medicham,0.9150827119594798,0.11338740516251296,2,Fully Evolved
290,309,45,40,40,65,40,65,295,120,289,1250000,0.6,3,3,15.2,3,Electrike,-2.0833328070574306,1.8683782997270126,1,Baby
291,310,75,80,70,135,80,135,575,45,137,1250000,1.5,3,3,40.2,3,Manectric,2.246066400794784,2.534962287577624,2,Fully Evolved
292,311,50,40,60,85,75,95,405,200,88,1000000,0.4,3,3,4.2,3,Plusle,-1.2425859550543366,2.0646679146466465,1,Baby
293,312,40,50,60,75,85,95,405,200,88,1000000,0.4,3,3,4.2,3,Minun,-1.2357127163884831,1.8934206863920764,1,Baby
294,313,73,75,65,47,85,85,430,150,177,600000,0.7,0,0,17.7,3,Volbeat,-0.9399572957070328,1.9407745769588294,2,Fully Evolved
295,314,47,75,65,73,85,85,430,150,177,1640000,0.6,0,0,17.7,3,Illumise,-0.004397614031674983,2.718277718196069,2,Fully Evolved
296,315,60,45,50,100,80,65,400,150,508,1059860,0.3,9,13,2.0,3,Roselia,-1.0750677325357132,-0.2759980253124239,1,Baby
297,316,43,53,70,43,53,40,302,225,486,1640000,0.4,13,13,10.3,3,Gulpin,-2.0585730760781313,-0.8686627535173206,1,Baby
298,317,73,83,100,73,83,55,467,75,372,1640000,1.7,13,13,80.0,3,Swalot,1.4115590785682361,-0.8854681177952228,2,Fully Evolved
299,318,90,20,45,65,20,65,305,225,417,1250000,0.8,17,1,20.8,3,Carvanha,-2.328303803632964,0.7979325812939457,1,Baby
300,319,140,70,70,110,65,105,560,60,66,1250000,1.8,17,1,88.8,3,Sharpedo,2.3254270050472274,1.1553160994100944,2,Fully Evolved
301,320,70,35,130,70,35,60,400,125,25,1640000,2.0,17,17,130.0,3,Wailmer,0.5906034920733115,-1.2416139998125386,2,Fully Evolved
302,321,90,45,170,90,45,60,500,60,185,1640000,14.5,17,17,398.0,3,Wailord,6.388349657804588,-2.551226664311233,0,Legendary
303,322,60,40,60,65,45,35,305,255,346,1000000,0.7,6,10,24.0,3,Numel,-2.6307824905202186,0.04749294125312838,1,Baby
304,323,120,100,70,145,105,20,560,150,165,1000000,1.9,6,10,220.0,3,Camerupt,2.2126055393987074,-0.40759193910789543,2,Fully Evolved
305,324,85,140,70,85,70,20,470,90,98,1000000,0.5,6,6,80.4,3,Torkoal,0.4943165502507256,-0.07896609358548116,2,Fully Evolved
306,325,25,35,60,70,80,60,330,255,59,800000,0.7,14,14,30.6,3,Spoink,-2.3869158074254244,-1.186228023760736,1,Baby
307,326,45,65,80,90,110,80,470,60,313,800000,0.9,14,14,71.5,3,Grumpig,0.45838634045054366,-1.2959246801654358,2,Fully Evolved
308,327,60,60,60,60,60,60,360,255,477,800000,1.1,12,12,5.0,3,Spinda,-2.0764160842986223,-1.0291144241217594,1,Baby
309,328,100,45,45,45,45,10,290,255,4,1059860,0.7,10,10,15.0,3,Trapinch,-2.6541894285839827,-0.33429990805521587,1,Baby
310,329,70,50,50,50,50,70,340,120,544,1059860,1.1,10,2,15.3,3,Vibrava,-1.5392983779249776,0.8675617361456232,1,Baby
311,330,100,80,80,80,80,100,520,45,341,1059860,2.0,10,2,82.0,3,Flygon,1.6615900585074377,1.0507617904522686,2,Fully Evolved
312,331,85,40,50,85,40,35,335,190,75,1059860,0.4,9,9,51.3,3,Cacnea,-1.8388105002142194,0.2705306983948594,1,Baby
313,332,115,60,70,115,60,55,475,60,420,1059860,1.3,9,1,77.4,3,Cacturne,0.8428830225179503,1.2181737156150594,2,Fully Evolved
314,333,40,60,45,40,75,50,310,255,111,600000,0.4,12,7,1.2,3,Swablu,-3.0278858152088515,-0.522607370449884,1,Baby
315,334,110,110,75,110,105,80,590,45,239,600000,1.1,2,7,20.6,3,Altaria,1.8169443809939057,0.8064318868968402,2,Fully Evolved
316,335,115,60,73,60,60,90,458,90,80,600000,1.3,12,12,40.3,3,Zangoose,-0.02051097944792545,-0.4341291458565862,2,Fully Evolved
317,336,100,60,73,100,60,65,458,90,171,1640000,2.7,13,13,52.5,3,Seviper,1.4059849469751966,-0.23676760679629807,2,Fully Evolved
318,337,55,65,90,95,85,70,460,45,323,800000,1.0,15,14,168.0,3,Lunatone,0.669501591078727,-1.52815673573112,2,Fully Evolved
319,338,95,85,90,55,65,70,460,45,323,800000,1.2,15,14,154.0,3,Solrock,0.6662910641284704,-1.639735739325572,2,Fully Evolved
320,339,48,43,50,46,41,60,288,190,556,1000000,0.4,17,10,1.9,3,Barboach,-2.7931095278847122,-1.024278355969356,1,Baby
321,340,78,73,110,76,71,60,468,75,556,1000000,0.9,17,10,23.6,3,Whiscash,0.4279007402476721,-1.2144055932137756,2,Fully Evolved
322,341,80,65,43,50,35,35,308,205,412,1640000,0.6,17,17,11.5,3,Corphish,-1.84256145282602,-1.663037696410376,1,Baby
323,342,120,85,63,90,55,55,468,155,407,1640000,1.1,17,1,32.8,3,Crawdaunt,0.7079313953423224,0.5709062795553063,2,Fully Evolved
324,343,40,55,40,40,70,55,300,255,96,1000000,0.5,10,14,21.5,3,Baltoy,-2.7357356078735577,-0.8151956335305337,1,Baby
325,344,70,105,60,70,120,75,500,90,96,1000000,1.5,10,14,108.0,3,Claydol,1.190320314573441,-1.032481149313169,2,Fully Evolved
326,345,41,77,66,61,87,23,355,45,432,600000,1.0,15,9,23.8,3,Lileep,-1.2280913282552106,-1.6371371618080728,1,Baby
327,346,81,97,86,81,107,43,495,45,27,600000,1.5,15,9,60.4,3,Cradily,0.96964321975672,-1.2948921761753462,2,Fully Evolved
328,347,95,50,45,40,50,75,355,45,350,600000,0.7,15,0,12.5,3,Anorith,-1.497920953767394,0.5445787311196021,1,Baby
329,348,125,100,75,70,80,45,495,45,368,600000,1.5,15,0,68.2,3,Armaldo,0.8594362670010387,-0.193465462531773,2,Fully Evolved
330,349,15,20,20,10,55,80,200,255,179,600000,0.6,17,17,7.4,3,Feebas,-4.535901175731053,-1.878884488756534,1,Baby
331,350,60,79,95,100,125,81,540,60,505,600000,6.2,17,17,162.0,3,Milotic,2.9050843962964783,-2.8215978910299153,0,Legendary
332,351,70,70,70,70,70,70,420,45,554,1000000,0.3,12,12,0.8,3,Castform,-0.40032330117076215,-0.6998589444907646,2,Fully Evolved
333,352,90,70,60,60,120,40,440,200,103,1059860,1.0,12,12,22.0,3,Kecleon,-0.2914923567580535,-0.9504262166414433,2,Fully Evolved
334,353,75,35,44,63,33,45,295,225,391,800000,0.6,8,8,2.3,3,Shuppet,-2.9572305364889706,0.20219708046012122,1,Baby
335,354,165,75,64,93,83,75,555,45,316,800000,1.1,8,8,12.5,3,Banette,1.517434456619914,0.5366394745798301,2,Fully Evolved
336,355,40,90,20,30,90,25,295,190,398,800000,0.8,8,8,15.0,3,Duskull,-2.6571463909416986,-0.7830248417084393,1,Baby
337,356,70,130,40,60,130,25,455,90,34,800000,1.6,8,8,30.6,3,Dusclops,0.3386330034521347,-0.8075522446760436,2,Fully Evolved
338,357,68,83,99,72,87,51,460,200,202,1250000,2.0,9,7,100.0,3,Tropius,0.5638291641575446,-0.06312766288896472,2,Fully Evolved
339,358,50,80,75,95,90,65,455,45,566,800000,0.6,14,14,1.0,3,Chimecho,0.003724846640838574,-1.4972199851678714,2,Fully Evolved
340,359,150,60,65,115,60,115,565,30,136,1059860,1.2,1,1,47.0,3,Absol,1.9680091756488187,3.0492456463863036,2,Fully Evolved
341,360,23,48,95,23,48,23,260,125,63,1000000,0.6,14,14,14.0,3,Wynaut,-2.5289930970913423,-1.5656685999806526,1,Baby
342,361,50,50,50,50,50,50,300,190,461,1000000,0.7,11,11,16.8,3,Snorunt,-2.4806329557390567,-0.646913047649274,1,Baby
343,362,120,80,80,120,80,100,580,75,168,1000000,1.5,11,11,256.5,3,Glalie,2.6156375880372336,-0.11857755044911905,2,Fully Evolved
344,363,40,50,70,55,50,25,290,255,95,1059860,0.8,11,17,39.5,3,Spheal,-2.591366298654379,-1.504382411136941,1,Baby
345,364,60,70,90,75,70,45,410,120,24,1059860,1.1,11,17,87.6,3,Sealeo,-0.1663272365930242,-1.3589237116899109,2,Fully Evolved
346,365,80,90,110,95,90,65,530,45,241,1059860,1.4,11,17,150.6,3,Walrein,1.9578221396088509,-1.4456081480552598,2,Fully Evolved
347,366,64,85,35,74,55,32,345,255,46,600000,0.4,17,17,52.5,3,Clamperl,-2.400539343618593,-2.4350819030678044,1,Baby
348,367,104,105,55,94,75,52,485,60,128,600000,1.7,17,17,27.0,3,Huntail,0.6223760388825612,-2.2644868987563327,2,Fully Evolved
349,368,84,105,55,114,75,52,485,60,467,600000,1.8,17,17,22.6,3,Gorebyss,0.5529837069698907,-2.463668751498716,2,Fully Evolved
350,369,90,130,100,45,65,55,485,25,303,1250000,1.0,17,15,23.4,3,Relicanth,1.1706054935205472,-2.000709820648652,2,Fully Evolved
351,370,30,55,43,40,65,97,330,225,396,800000,0.6,17,17,8.7,3,Luvdisc,-2.5399760352683507,-1.8390062868610948,1,Baby
352,371,75,60,45,40,30,50,300,45,402,1250000,0.6,2,2,42.1,3,Bagon,-1.6162266654228874,1.757448252994805,1,Baby
353,372,95,100,65,60,50,50,420,45,163,1250000,1.1,2,2,110.5,3,Shelgon,0.3891947652992137,1.5409376546260665,2,Fully Evolved
354,373,145,130,95,120,90,120,700,45,144,1250000,1.5,2,7,102.6,3,Salamence,4.139263337969627,1.6273235391221865,0,Legendary
355,374,55,80,40,35,60,30,300,3,254,1250000,0.6,16,14,95.2,3,Beldum,-1.1370612157289177,-1.720894545882995,1,Baby
356,375,75,100,60,55,80,50,420,3,255,1250000,1.2,16,14,202.5,3,Metang,0.8964812787599705,-1.792515272232621,2,Fully Evolved
357,376,145,150,80,105,110,110,700,3,256,1250000,1.6,16,14,550.0,3,Metagross,5.518657061055581,-1.7262373001776203,0,Legendary
358,377,100,200,80,50,100,50,580,3,404,1250000,1.7,15,15,230.0,3,Regirock,3.2130813660934416,-2.735248569024008,0,Legendary
359,378,50,100,80,100,200,50,580,3,243,1250000,1.8,11,11,175.0,3,Regice,3.2835153370982955,-1.1620552124621752,0,Legendary
360,379,75,150,80,75,150,50,580,3,257,1250000,1.9,16,16,205.0,3,Registeel,3.3244773982001457,-2.6206547903450317,0,Legendary
361,380,100,120,80,140,150,110,700,3,164,1250000,1.4,2,14,40.0,3,Latias,4.21380761603385,0.5987642172106453,2,Fully Evolved
362,381,130,100,80,160,120,110,700,3,164,1250000,2.0,2,14,60.0,3,Latios,4.406097093402029,0.9336043537920424,0,Legendary
363,382,150,90,100,180,160,90,770,3,428,1250000,4.5,17,17,352.0,3,Kyogre,6.8908172004586365,-1.9084857744346666,0,Legendary
364,383,180,160,100,150,90,90,770,3,109,1250000,3.5,10,10,950.0,3,Groudon,8.037671078066868,-1.107032772744532,0,Legendary
365,384,180,100,105,180,100,115,780,45,454,1250000,7.0,2,7,206.5,3,Rayquaza,6.975685288694193,1.376034012284577,0,Legendary
366,385,100,100,100,100,100,100,600,3,569,1250000,0.3,16,14,1.1,3,Jirachi,2.433830042359344,-1.0222284310304228,2,Fully Evolved
367,386,95,90,50,95,90,180,600,3,121,1250000,1.7,14,14,60.8,3,Deoxys,2.8030352187861,0.2637723599416532,2,Fully Evolved
368,387,68,64,55,45,55,31,318,45,516,1059860,0.4,9,9,10.2,4,Turtwig,-1.5798839117280734,-0.24597251885416843,1,Baby
369,388,89,85,75,55,65,36,405,45,219,1059860,1.1,9,9,97.0,4,Grotle,0.0852006274278277,-0.2798189158731839,2,Fully Evolved
370,389,109,105,95,75,85,56,525,45,109,1059860,2.2,9,10,310.0,4,Torterra,2.5477694466683887,-0.5795223630479496,0,Legendary
371,390,58,44,44,58,44,61,309,45,92,1059860,0.5,6,6,6.2,4,Chimchar,-1.6871515518513966,1.2380503056046792,1,Baby
372,391,78,52,64,78,52,81,405,45,369,1059860,0.9,6,5,22.0,4,Monferno,-0.33342697575289165,1.3746270755374435,2,Fully Evolved
373,392,104,71,76,104,71,108,534,45,183,1059860,1.2,6,5,55.0,4,Infernape,1.568893926997814,1.6725398629337864,2,Fully Evolved
374,393,51,53,53,61,56,40,314,45,360,1059860,0.4,17,17,5.2,4,Piplup,-1.5978659326043463,-1.8273604516568065,1,Baby
375,394,66,68,64,81,76,50,405,45,360,1059860,0.8,17,17,23.0,4,Prinplup,-0.21666489070426306,-1.836964178943678,2,Fully Evolved
376,395,86,88,84,111,101,60,530,45,162,1059860,1.7,17,16,84.5,4,Empoleon,1.930166005171365,-1.6995119161221246,2,Fully Evolved
377,396,55,30,40,30,30,60,245,255,483,1059860,0.3,12,7,2.0,4,Starly,-3.6319971024824027,0.15082337968727386,1,Baby
378,397,75,50,55,40,40,80,340,120,483,1059860,0.6,12,7,15.5,4,Staravia,-1.662523233150693,0.2951616008286579,1,Baby
379,398,120,70,85,50,60,100,485,45,382,1059860,1.2,12,7,24.9,4,Staraptor,0.8405425954658194,0.4794838825565954,2,Fully Evolved
380,399,45,40,59,35,40,31,250,255,371,1000000,0.5,12,12,20.0,4,Bidoof,-3.3915273244499207,-0.9320836653757859,1,Baby
381,400,85,60,79,55,60,71,410,127,33,1000000,1.0,12,17,31.5,4,Bibarel,-0.47863387432881127,-0.9532246150789002,2,Fully Evolved
382,401,25,41,37,25,41,25,194,255,116,1059860,0.3,0,0,2.2,4,Kricketot,-4.1890412729105,1.96799356091226,1,Baby
